Brand,Model,Variant,Usable_Battery_kWh,AC_Max_kW,DC_Max_kW,DC_Charging_Curve,DC_Curve_Is_Default,DC_Ports,AC_Ports
Abarth,500E,hatchback (42.2 kWh usable),42.2,11.0,85.0,"[{""percentage"":0,""power"":80.75},{""percentage"":50,""power"":85},{""percentage"":80,""power"":42.5},{""percentage"":100,""power"":17}]",True,ccs,type2
Abarth,500e Convertible,37.8 kWh usable,37.8,11.0,85.0,"[{""percentage"":0,""power"":85},{""percentage"":50,""power"":85},{""percentage"":80,""power"":51},{""percentage"":100,""power"":25.5}]",False,ccs,type2
Abarth,500e Scorpionissima,37.8 kWh usable,37.8,11.0,85.0,"[{""percentage"":0,""power"":85},{""percentage"":50,""power"":85},{""percentage"":80,""power"":51},{""percentage"":100,""power"":25.5}]",False,ccs,type2
Abarth,600e Scorpionissima,50.8 kWh usable,50.8,11.0,100.0,"[{""percentage"":0,""power"":100},{""percentage"":50,""power"":100},{""percentage"":80,""power"":60},{""percentage"":100,""power"":30}]",False,ccs,type2
Abarth,600e Turismo,50.8 kWh usable,50.8,11.0,100.0,"[{""percentage"":0,""power"":100},{""percentage"":50,""power"":100},{""percentage"":80,""power"":60},{""percentage"":100,""power"":30}]",False,ccs,type2
Abarth,convertible,37.8 kWh usable,37.8,11.0,37.8,"[{""percentage"":0,""power"":37.8},{""percentage"":50,""power"":37.8},{""percentage"":80,""power"":22.68},{""percentage"":100,""power"":11}]",False,ccs,type2
Abarth,hatchback,37.8 kWh usable,37.8,11.0,37.8,"[{""percentage"":0,""power"":37.8},{""percentage"":50,""power"":37.8},{""percentage"":80,""power"":22.68},{""percentage"":100,""power"":11}]",False,ccs,type2
Abarth,scorpionissima,37.8 kWh usable,37.8,11.0,37.8,"[{""percentage"":0,""power"":37.8},{""percentage"":50,""power"":37.8},{""percentage"":80,""power"":22.68},{""percentage"":100,""power"":11}]",False,ccs,type2
Aiways,U5.,60 kWh usable,60.0,11.0,60.0,"[{""percentage"":0,""power"":60},{""percentage"":50,""power"":60},{""percentage"":80,""power"":36},{""percentage"":100,""power"":11}]",False,ccs,type2
Aiways,U6.,60 kWh usable,60.0,11.0,60.0,"[{""percentage"":0,""power"":60},{""percentage"":50,""power"":60},{""percentage"":80,""power"":36},{""percentage"":100,""power"":11}]",False,ccs,type2
Alpine,A290 Electric 180 hp,52 kWh usable,52.0,11.0,100.0,"[{""percentage"":0,""power"":100},{""percentage"":50,""power"":100},{""percentage"":80,""power"":50},{""percentage"":100,""power"":20}]",False,ccs,type2
Alpine,A290 Electric 220 hp,52 kWh usable,52.0,11.0,100.0,"[{""percentage"":0,""power"":100},{""percentage"":50,""power"":100},{""percentage"":80,""power"":50},{""percentage"":100,""power"":20}]",False,ccs,type2
Artega,Karo,Range Plus (14.4 kWh usable),14.4,4.0,150.0,"[{""percentage"":0,""power"":150},{""percentage"":20,""power"":150},{""percentage"":40,""power"":120},{""percentage"":60,""power"":90},{""percentage"":80,""power"":60},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,50,quattro (64.7 kWh usable),64.7,11.0,64.7,"[{""percentage"":0,""power"":64.7},{""percentage"":20,""power"":64.7},{""percentage"":40,""power"":52},{""percentage"":60,""power"":39},{""percentage"":80,""power"":26},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,55,quattro (86.5 kWh usable),86.5,11.0,86.5,"[{""percentage"":0,""power"":86.5},{""percentage"":30,""power"":86.5},{""percentage"":60,""power"":60.55},{""percentage"":80,""power"":34.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,A6 Avant e-tron,75.8 kWh usable,75.8,11.0,225.0,"[{""percentage"":0,""power"":225},{""percentage"":50,""power"":225},{""percentage"":80,""power"":112.5},{""percentage"":100,""power"":45}]",False,ccs,type2
Audi,A6 Avant e-tron performance,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,A6 Avant e-tron quattro,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,A6 Sportback e-tron,75.8 kWh usable,75.8,11.0,225.0,"[{""percentage"":0,""power"":225},{""percentage"":50,""power"":225},{""percentage"":80,""power"":112.5},{""percentage"":100,""power"":45}]",False,ccs,type2
Audi,A6 Sportback e-tron performance,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,A6 Sportback e-tron quattro,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,GT,RS (85 kWh usable),85.0,11.0,268.0,"[{""percentage"":0,""power"":254.6},{""percentage"":75,""power"":268},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,GT,quattro (85 kWh usable),85.0,11.0,268.0,"[{""percentage"":0,""power"":254.6},{""percentage"":75,""power"":268},{""percentage"":100,""power"":11}]",True,ccs,type2
